YEAR,MO,DY,HR,WS10M,WS50M
2015,1,16,12,6.33,10.32
2015,1,16,13,6.32,10.28
2015,1,16,14,6.05,9.87
2015,1,16,15,5.88,9.65
2015,1,16,16,5.56,9.31
2015,1,16,17,5.4,9.09
2015,1,16,18,5.32,8.99
2015,1,16,19,5.37,9.03
2015,1,16,20,5.27,8.87
2015,1,16,21,5.15,8.64
2015,1,16,22,5.23,8.73
2015,1,16,23,5.32,8.79
2015,1,17,0,5.27,8.71
2015,1,17,1,4.97,8.2
2015,1,17,2,4.68,7.67
2015,1,17,3,4.32,7.09
2015,1,17,4,3.79,6.4
2015,1,17,5,3.41,6.03
2015,1,17,6,3.02,5.16
2015,1,17,7,2.88,4.71
2015,1,17,8,2.71,4.47
2015,1,17,9,2.68,3.98
2015,1,17,10,2.28,3.25
2015,1,17,11,1.86,2.59
2015,1,17,12,1.41,1.94
2015,1,17,13,1.24,1.77
2015,1,17,14,1.26,1.96
2015,1,17,15,1.28,2.3
2015,1,17,16,1.53,3.17
2015,1,17,17,2.14,4.98
2015,1,17,18,2.54,5.14
2015,1,17,19,2.5,4.98
2015,1,17,20,2.59,4.93
2015,1,17,21,2.61,4.78
2015,1,17,22,2.5,4.71
2015,1,17,23,2.4,4.65
2015,1,18,0,2.35,4.64
2015,1,18,1,2.42,4.85
2015,1,18,2,2.43,5.02
2015,1,18,3,2.39,5.19
2015,1,18,4,2.3,5.26
2015,1,18,5,2.2,5.55
2015,1,18,6,2.16,5.75
2015,1,18,7,2.12,5.74
2015,1,18,8,2.6,4.7
2015,1,18,9,2.59,3.91
2015,1,18,10,2.75,4
2015,1,18,11,2.9,4.37
2015,1,18,12,3.77,7.34
2015,1,18,13,3.09,5.81
2015,1,18,14,2.35,4.51
2015,1,18,15,2.58,4.88
2015,1,18,16,2.49,5.66
2015,1,18,17,2.9,7.22
2015,1,18,18,2.8,7.44
2015,1,18,19,2.23,5.79
2015,1,18,20,1.75,3.75
2015,1,18,21,1.22,3.21
2015,1,18,22,1.61,3.71
2015,1,18,23,2.03,4.22
2015,1,19,0,2.39,4.55
2015,1,19,1,2.61,4.64
2015,1,19,2,2.88,4.89
2015,1,19,3,3.46,6.01
2015,1,19,4,3.32,5.81
2015,1,19,5,3.08,5.68
2015,1,19,6,2.91,5.63
2015,1,19,7,2.9,5.5
2015,1,19,8,3.1,5.25
2015,1,19,9,3.36,5.36
2015,1,19,10,3.96,6.46
2015,1,19,11,4.14,6.74
2015,1,19,12,4.01,6.58
2015,1,19,13,3.92,6.48
2015,1,19,14,3.98,6.68
2015,1,19,15,4.11,7.03
2015,1,19,16,4.2,7.34
2015,1,19,17,4.45,7.72
2015,1,19,18,4.48,7.71
2015,1,19,19,4.24,7.37
2015,1,19,20,3.9,6.85
2015,1,19,21,3.68,6.6
2015,1,19,22,3.53,6.46
2015,1,19,23,3.69,6.68
2015,1,20,0,3.95,7.08
2015,1,20,1,3.97,7.02
2015,1,20,2,3.86,6.84
2015,1,20,3,3.58,6.51
2015,1,20,4,3.46,6.49
2015,1,20,5,3.5,6.57
2015,1,20,6,3.28,6.07
2015,1,20,7,3.16,5.97
2015,1,20,8,3.5,5.71
2015,1,20,9,4.16,6.62
2015,1,20,10,4.2,6.56
2015,1,20,11,4.15,6.4
2015,1,20,12,4.14,6.5
2015,1,20,13,4.08,6.49
2015,1,20,14,3.86,6.3
2015,1,20,15,3.4,5.86
2015,1,20,16,3.12,6.08
2015,1,20,17,3.1,6.23
2015,1,20,18,3.33,6.42
2015,1,20,19,3.27,6.29
2015,1,20,20,3.03,6.18
2015,1,20,21,2.82,6.19
2015,1,20,22,2.92,6.05
2015,1,20,23,2.9,5.65
2015,1,21,0,2.62,5.3
2015,1,21,1,2.56,4.95
2015,1,21,2,2.51,4.76
2015,1,21,3,2.65,4.74
2015,1,21,4,2.88,4.65
2015,1,21,5,2.79,4.38
2015,1,21,6,2.63,4.02
2015,1,21,7,2.46,3.62
2015,1,21,8,2.05,2.94
2015,1,21,9,1.5,2.29
2015,1,21,10,1.35,1.85
2015,1,21,11,1.13,1.47
2015,1,21,12,0.91,1.16
2015,1,21,13,0.98,1.32
2015,1,21,14,0.89,1.33
2015,1,21,15,0.75,1.51
2015,1,21,16,1.29,2.2
2015,1,21,17,1.55,2.65
2015,1,21,18,1.62,2.71
2015,1,21,19,1.84,3.12
2015,1,21,20,2,3.45
2015,1,21,21,2.07,3.77
2015,1,21,22,1.93,4.27
2015,1,21,23,1.72,4.33
2015,1,22,0,1.64,4.1
2015,1,22,1,1.57,3.8
2015,1,22,2,1.67,3.48
2015,1,22,3,1.77,3.16
2015,1,22,4,1.79,3
2015,1,22,5,1.78,2.93
2015,1,22,6,1.65,2.7
2015,1,22,7,1.43,2.21
2015,1,22,8,0.93,1.21
2015,1,22,9,0.51,0.73
2015,1,22,10,1.07,1.71
2015,1,22,11,1.55,2.3
2015,1,22,12,1.83,2.74
2015,1,22,13,2.11,3.28
2015,1,22,14,2.26,3.74
2015,1,22,15,1.77,3.5
2015,1,22,16,1.65,4.2
2015,1,22,17,2.05,5.07
2015,1,22,18,2.35,5.61
2015,1,22,19,2.41,5.85
2015,1,22,20,2.64,5.69
2015,1,22,21,2.17,5.07
2015,1,22,22,2.3,5.01
2015,1,22,23,2.28,4.71
2015,1,23,0,2.37,4.61
2015,1,23,1,2.42,4.56
2015,1,23,2,2.51,4.91
2015,1,23,3,2.75,5.61
2015,1,23,4,2.73,6.17
2015,1,23,5,2.81,6.29
2015,1,23,6,2.81,5.61
2015,1,23,7,2.61,5.12
2015,1,23,8,2.43,4.02
2015,1,23,9,2.53,3.95
2015,1,23,10,3.1,5.09
2015,1,23,11,3.48,5.64
2015,1,23,12,3.4,5.52
2015,1,23,13,3.09,5.05
