YEAR,MO,DY,HR,WS10M,WS50M
2021,1,19,19,5.31,7.49
2021,1,19,20,5,7.21
2021,1,19,21,4.53,6.93
2021,1,19,22,4.3,6.9
2021,1,19,23,4.09,6.75
2021,1,20,0,4.04,6.57
2021,1,20,1,3.67,6.28
2021,1,20,2,3.43,6.18
2021,1,20,3,3.2,6.1
2021,1,20,4,3.24,6.27
2021,1,20,5,3.35,6.55
2021,1,20,6,3.91,6.66
2021,1,20,7,5.1,6.48
2021,1,20,8,5.71,7.03
2021,1,20,9,5.8,6.95
2021,1,20,10,5.68,6.73
2021,1,20,11,5.39,6.33
2021,1,20,12,5.14,6.01
2021,1,20,13,4.94,5.76
2021,1,20,14,4.6,5.4
2021,1,20,15,4.13,4.93
2021,1,20,16,2.87,4.23
2021,1,20,17,1.93,3.74
2021,1,20,18,1.58,3.14
2021,1,20,19,1.15,2.24
2021,1,20,20,0.91,1.5
2021,1,20,21,0.52,0.76
2021,1,20,22,0.17,0.24
2021,1,20,23,0.83,1.31
2021,1,21,0,1.37,2.43
2021,1,21,1,2.41,3.36
2021,1,21,2,3.09,3.84
2021,1,21,3,3.31,3.97
2021,1,21,4,3.24,3.81
2021,1,21,5,2.94,3.46
2021,1,21,6,2.64,2.99
2021,1,21,7,1.93,1.96
2021,1,21,8,0.91,0.78
2021,1,21,9,0.72,1.18
2021,1,21,10,3.6,4.72
2021,1,21,11,5.35,6.68
2021,1,21,12,5.96,7.39
2021,1,21,13,6.19,7.65
2021,1,21,14,6.2,7.6
2021,1,21,15,6.03,7.38
2021,1,21,16,5.43,6.94
2021,1,21,17,4.63,6.15
2021,1,21,18,3.77,5.47
2021,1,21,19,2.94,5.26
2021,1,21,20,3.03,5.69
2021,1,21,21,2.81,5.46
2021,1,21,22,2.85,5.84
2021,1,21,23,3.02,5.97
2021,1,22,0,2.8,5.76
2021,1,22,1,2.65,5.53
2021,1,22,2,2.56,5.38
2021,1,22,3,2.34,4.81
2021,1,22,4,2.09,3.9
2021,1,22,5,1.9,3.41
2021,1,22,6,2.36,3.73
2021,1,22,7,3.49,3.94
2021,1,22,8,3.44,3.79
2021,1,22,9,3.02,3.36
2021,1,22,10,3.03,3.42
2021,1,22,11,3.12,3.56
2021,1,22,12,3.09,3.59
2021,1,22,13,2.98,3.49
2021,1,22,14,2.75,3.23
2021,1,22,15,2.43,2.84
2021,1,22,16,1.78,2.92
2021,1,22,17,2.3,4.51
2021,1,22,18,3.15,5.7
2021,1,22,19,3.81,5.87
2021,1,22,20,2.9,5.29
2021,1,22,21,2.21,4.47
2021,1,22,22,1.96,3.49
2021,1,22,23,1.65,2.62
2021,1,23,0,1.32,1.94
